depth,model_age,co2
2412.2354430379746,280243.34683544305,198.4
2414.6038186157516,281101.41288782813,193.2
2417.0690476190475,281992.30476190476,202.2
2419.3970944309926,282819.5278450363,204.5
2421.722077922078,283653.56103896105,211.0
2424.3051771117166,284526.23433242505,215.3
2428.280323450135,285838.14285714284,223.7
2433.7638888888887,287558.3333333333,231.3
2438.392961876833,288976.60410557187,228.0
2440.612612612613,289646.4324324324,226.4
2443.4254658385094,290441.6614906832,231.4
2445.0131578947367,290920.2894736842,230.4
2447.243670886076,291661.36075949366,231.0
2453.7927272727275,294070.61454545456,234.9
2455.767515923567,294854.7738853503,220.4
2457.657060518732,295573.82708933717,217.1
2460.635097493036,296631.7158774373,207.6
2462.3660933660935,297304.6339066339,206.0
2464.15421686747,298028.378313253,206.7
2466.039800995025,298768.44278606965,212.7
2469.6446280991736,300130.8429752066,213.1
2474.7039627039626,302086.1771561772,217.1
2476.705596107056,302853.71532846714,224.4
2478.8962025316455,303666.0101265823,231.0
2481.1654501216544,304501.5547445255,236.1
2483.3199105145413,305274.00894854584,239.0
2485.406947890819,306020.19851116627,236.0
2487.9068493150685,307015.597260274,240.2
2490.594666666667,308173.73333333334,240.7
2492.4479768786127,308933.84682080924,250.2
2494.6546961325967,309838.59116022097,248.6
2496.922891566265,310772.8481927711,244.8
2499.047085201794,311612.45739910315,225.8
2501.956416464891,312739.2639225182,227.8
2503.461711711712,313296.2162162162,226.2
2505.2271662763465,313913.78220140515,233.2
2507.2433090024333,314592.7518248175,237.8
2509.3216957605987,315285.8029925187,239.0
2511.3291770573564,315951.66583541146,241.9
2513.2719298245615,316552.48245614034,251.6
2515.413994169096,317240.03206997085,256.7
2517.5548961424333,317961.9940652819,257.1
2519.693251533742,318729.88957055216,246.8
2521.726072607261,319513.71617161715,272.6
2523.9725609756097,320376.5457317073,251.6
2526.4666666666667,321276.8,245.2
2528.7260981912145,322064.77777777775,233.4
2531.0,322819.0,255.8
2533.1937984496126,323507.3023255814,249.2
2537.667605633803,324815.5943661972,257.2
2539.879518072289,325432.265060241,260.4
2542.21835443038,326081.1740506329,260.3
2544.683673469388,326736.4387755102,260.5
2547.106007067138,327369.9858657244,266.2
2549.744680851064,328069.08510638296,264.0
2551.907063197026,328634.0223048327,266.1
2554.3777777777777,329275.6,270.1
2556.6853932584268,329867.8314606742,271.9
2559.0114503816794,330463.85114503815,275.1
2563.7846153846153,331668.8615384615,265.0
2566.6108949416343,332399.2217898833,271.7
2568.689516129032,332915.8629032258,272.6
2571.32962962963,333526.2,273.1
2573.2107142857144,333929.4607142857,282.4
2574.4379562043796,334183.5912408759,289.1
2575.0891472868216,334313.47286821704,288.4
2576.8671875,334659.3671875,298.6
2578.7922077922076,335023.3506493507,278.1
2581.157894736842,335486.5263157895,285.8
2583.020725388601,335877.55958549224,278.6
2585.6424581005585,336468.9776536313,270.5
2588.648936170213,337253.05319148937,255.7
2591.855769230769,338236.41346153844,241.9
2595.5,339474.0,239.6
2598.0655172413794,340513.7448275862,234.2
2604.2742382271467,343862.8808864266,250.1
2607.2171945701357,345545.628959276,200.7
2609.9557195571956,347105.40590405907,205.2
2612.4,348456.0,204.8
2614.3458401305056,349501.7618270799,211.9
2616.965694682676,350797.32761578046,220.3
2621.0088339222616,352860.7261484099,221.1
2623.5975359342915,354251.0472279261,216.2
2626.138276553106,355689.4128256513,209.4
2628.787356321839,357273.4770114943,209.2
