depth,d18O,age
244.2,-49.77,7.532799999999999
244.75,-51.34,7.5515
245.3,-51.72,7.5714
245.85,-50.87,7.5923
246.4,-50.51,7.614
246.95,-49.92,7.635999999999999
247.5,-51.65,7.657
248.05,-51.16,7.67785
248.6,-49.75,7.6982
249.15,-49.92,7.7184
249.7,-51.95,7.738199999999999
250.25,-51.21,7.7585
250.8,-51.4,7.7794
251.35,-51.44,7.800999999999999
251.9,-50.57,7.823
252.45,-50.01,7.844549999999999
253.0,-50.76,7.866
253.55,-51.06,7.88635
254.1,-51.12,7.906899999999999
254.65,-51.34,7.92835
255.2,-51.17,7.9498
255.75,-51.96,7.9712499999999995
256.3,-51.09,7.9927
256.85,-52.79,8.01415
257.4,-51.13,8.036
257.95,-50.76,8.058
258.5,-51.46,8.08
259.05,-51.77,8.102
259.6,-52.31,8.124
260.15,-52.24,8.14645
260.7,-51.22,8.1701
261.25,-51.58,8.1935
261.8,-50.83,8.2166
262.35,-51.2,8.239
262.9,-51.44,8.261
263.45,-51.26,8.28255
264.0,-51.26,8.304
264.55,-52.03,8.32545
265.1,-51.66,8.347000000000001
265.65,-51.82,8.368999999999998
266.2,-51.47,8.390999999999998
266.75,-51,8.413
267.3,-50.79,8.434700000000001
267.85,-50.83,8.456150000000001
268.4,-52.39,8.478
268.95,-50.82,8.5
269.5,-49.95,8.522
270.05,-50.88,8.54385
270.6,-51.25,8.564200000000001
271.15,-50.23,8.58455
271.7,-51.2,8.604899999999999
272.25,-51.11,8.625499999999999
272.8,-50.81,8.6464
273.35,-51.43,8.66765
273.9,-51.41,8.689099999999998
274.45,-50.91,8.71055
275.0,-51.3,8.732
275.55,-50.53,8.75345
276.1,-51.79,8.774900000000002
276.65,-51.51,8.79635
277.2,-50.88,8.818200000000001
277.75,-50.5,8.84075
278.3,-50.96,8.862700000000002
278.85,-50.69,8.884150000000002
279.4,-50.77,8.9056
279.95,-51,8.92705
280.5,-50.04,8.948
281.05,-50.28,8.968900000000001
281.6,-51.29,8.9898
282.15,-50.62,9.0107
282.7,-50.76,9.0316
283.25,-50.57,9.052499999999998
283.8,-50.97,9.0734
284.35,-50.51,9.0943
284.9,-50.62,9.1152
285.45,-52.09,9.137
286.0,-51.56,9.159
286.55,-50.13,9.182100000000002
287.1,-51.1,9.205100000000002
287.65,-49.96,9.22765
288.2,-49.66,9.2494
288.75,-50.36,9.26975
289.3,-50.77,9.2898
289.85,-51.36,9.3096
290.4,-50.21,9.330599999999999
290.95,-50.27,9.352049999999998
291.5,-50.34,9.373
292.05,-50.51,9.3939
292.6,-50.14,9.4148
293.15,-50.2,9.43555
293.7,-49.85,9.4559
294.25,,9.476
294.8,-49.74,9.495800000000001
295.35,-50.41,9.515250000000002
295.9,-51.69,9.5345
296.45,-50.29,9.5551
297.0,-50.95,9.576
297.55,-50.05,9.598
298.1,-50.49,9.6198
298.65,-49.3,9.640699999999999
299.2,-50.08,9.6614
299.75,-50.91,9.681750000000001
300.3,-50.13,9.7018
300.85,-50.41,9.7216
301.4,-49.08,9.7418
301.95,-50.07,9.762149999999998
302.5,-49.95,9.782
303.05,-49.63,9.801750000000002
303.6,-49.99,9.821000000000002
304.15,-48.91,9.83995
304.7,-49.53,9.8581
305.25,-51.94,9.87725
305.8,-50.06,9.8976
306.35,-50.17,9.9183
306.9,-51.19,9.9392
307.45,-49.62,9.9592
308.0,-50.55,9.979
308.55,-49.93,9.998800000000001
309.1,-50.48,10.0188
309.65,-50.81,10.0397
310.2,-49.63,10.0602
310.75,-50.36,10.08
311.3,-50.4,10.0998
311.85,-49.94,10.1196
312.4,-49.72,10.1402
312.95,-50,10.1611
313.5,-49.65,10.1805
314.05,-50.81,10.199950000000001
314.6,-49.84,10.221400000000001
315.15,-48.89,10.2424
315.7,-49.43,10.2622
316.25,-49.71,10.2815
316.8,-50.16,10.3002
317.35,-49.77,10.319250000000002
317.9,-50.14,10.3385
318.45,-50.68,10.3582
319.0,-51.06,10.378
319.55,-49.5,10.398900000000001
320.1,-49.99,10.4198
320.65,-50.01,10.4407
321.2,-49.82,10.4612
321.75,-51.15,10.481
322.3,-49.68,10.5008
322.85,-50.89,10.5206
323.4,-50.25,10.5412
323.95,-50.32,10.5621
324.5,-50.98,10.5835
325.05,-49.65,10.60485
325.6,-49.42,10.625200000000001
326.15,-49.01,10.645249999999999
326.7,-49.58,10.6645
327.25,-49.8,10.684000000000001
327.8,-48.06,10.703800000000001
328.35,-50.59,10.723600000000001
328.9,-49.88,10.7434
329.45,-50.16,10.76365
330.0,-50.42,10.784
330.55,-50.34,10.80545
331.1,-50.19,10.826900000000002
331.65,-49.9,10.84835
332.2,-48.94,10.869399999999999
332.75,-50.32,10.88975
333.3,-50.45,10.9104
333.85,-50.33,10.9313
334.4,-50.65,10.953399999999998
334.95,-50.15,10.97595
335.5,-49.89,10.9985
336.05,-49.71,11.020950000000001
336.6,-49.36,11.0424
337.15,-49.9,11.063699999999999
337.7,-50.77,11.0846
338.25,-50.29,11.106
338.8,-49.79,11.128
339.35,-49.53,11.149650000000001
339.9,-50.36,11.1711
340.45,-50.96,11.19255
341.0,-50.11,11.214
341.55,-49.61,11.236
342.1,-49.91,11.2578
342.65,-49.38,11.278699999999999
343.2,-49.69,11.2996
343.75,-50.8,11.3205
344.3,-50.46,11.3423
344.85,-49.86,11.36485
345.4,-50.53,11.3874
345.95,-50.75,11.40995
346.5,-50.34,11.432
347.05,-49.28,11.45395
347.6,-49.25,11.4754
348.15,-49.43,11.4964
348.7,-49.85,11.5162
349.25,-51.21,11.536999999999999
349.8,-50.07,11.559000000000001
350.35,-49.85,11.58135
350.9,-50.23,11.6039
351.45,-48.57,11.624649999999999
352.0,-48.69,11.645
352.55,-50.9,11.66535
353.1,-50.26,11.685900000000002
353.65,-50.62,11.70735
354.2,-50.11,11.729
354.75,-49.62,11.751
355.3,-49.18,11.7727
355.85,-49.62,11.794150000000002
356.4,-48.82,11.8148
356.95,-49.27,11.835149999999999
357.5,-49.92,11.856
358.05,-50.34,11.877
358.6,-50.13,11.899000000000001
359.15,-50.27,11.921449999999998
359.7,-50.32,11.9451
