depth,age
1388,15119
1389,15160
1390,15197
1391,15236
1392,15272
1393,15308
1394,15344
1395,15382
1396,15419
1397,15459
1398,15495
1399,15532
1400,15571
1401,15612
1402,15651
1403,15693
1404,15737
1405,15781
1406,15823
1407,15861
1408,15899
1409,15938
1410,15977
1411,16016
1412,16053
1413,16092
1414,16132
1415,16173
1416,16212
1417,16253
1418,16294
1419,16335
1420,16372
1421,16406
1422,16442
1423,16477
1424,16514
1425,16548
1426,16590
1427,16625
1428,16658
1429,16693
1430,16729
1431,16765
1432,16800
1433,16835
1434,16870
1435,16909
1436,16948
1437,16987
1438,17021
1439,17056
1440,17092
1441,17125
1442,17158
1443,17195
1444,17230
1445,17268
1446,17306
1447,17346
1448,17380
1449,17415
1450,17453
1451,17490
1452,17529
1453,17570
1454,17607
1455,17643
1456,17675
1457,17711
1458,17752
1459,17788
1460,17821
1461,17854
1462,17892
1463,17926
1464,17965
1465,18002
1466,18040
1467,18080
1468,18117
1469,18151
1470,18184
1471,18217
1472,18254
1473,18291
1474,18326
1475,18364
1476,18407
1477,18446
1478,18485
1479,18522
1480,18562
1481,18601
1482,18636
1483,18674
1484,18711
1485,18748
1486,18785
1487,18821
1488,18855
1489,18894
1490,18932
1491,18972
1492,19011
1493,19050
1494,19089
1495,19127
1496,19166
1497,19202
1498,19244
1499,19281
1500,19322
1501,19360
1502,19400
1503,19435
1504,19474
1505,19511
1506,19548
1507,19583
1508,19620
1509,19656
1510,19698
1511,19740
1512,19779
1513,19816
1514,19854
1515,19888
1516,19925
1517,19962
1518,20003
1519,20041
1520,20078
1521,20118
1522,20155
1523,20192
1524,20226
1525,20262
1526,20298
1527,20333
1528,20373
1529,20412
1530,20453
1531,20491
1532,20529
1533,20565
1534,20604
1535,20641
1536,20677
1537,20720
1538,20757
1539,20795
1540,20836
1541,20876
1542,20918
1543,20962
1544,21005
1545,21048
1546,21093
1547,21138
1548,21181
1549,21222
1550,21264
1551,21308
1552,21351
1553,21395
1554,21439
1555,21481
1556,21526
1557,21572
1558,21616
1559,21660
1560,21706
1561,21749
1562,21793
1563,21837
1564,21881
1565,21923
1566,21967
1567,22012
1568,22059
1569,22105
1570,22153
1571,22197
1572,22242
1573,22286
1574,22332
1575,22377
1576,22419
1577,22462
1578,22501
1579,22541
1580,22585
1581,22628
1582,22672
1583,22716
1584,22754
1585,22793
1586,22840
1587,22883
1588,22925
1589,22960
1590,22997
1591,23039
1592,23078
1593,23119
1594,23157
1595,23203
1596,23245
1597,23280
1598,23314
1599,23345
1600,23382
1601,23426
1602,23471
1603,23516
1604,23568
1605,23616
1606,23669
1607,23722
1608,23773
1609,23825
1610,23878
1611,23931
1612,23987
1613,24044
1614,24098
1615,24152
1616,24207
1617,24257
1618,24310
1619,24358
1620,24407
1621,24459
1622,24509
1623,24564
1624,24620
1625,24675
1626,24733
1627,24786
1628,24844
1629,24895
1630,24946
1631,24999
1632,25045
1633,25096
1634,25149
1635,25205
1636,25263
1637,25321
1638,25373
1639,25428
1640,25484
1641,25542
1642,25598
1643,25654
1644,25711
1645,25768
1646,25825
1647,25883
1648,25938
1649,25996
1650,26046
1651,26093
1652,26143
1653,26187
1654,26230
1655,26273
1656,26319
1657,26365
1658,26415
1659,26463
1660,26507
1661,26562
1662,26613
1663,26666
1664,26716
1665,26766
1666,26813
1667,26863
1668,26911
1669,26958
1670,27005
1671,27056
1672,27103
1673,27154
1674,27205
1675,27255
1676,27303
1677,27353
1678,27403
1679,27453
1680,27504
1681,27544
1682,27576
1683,27603
1684,27630
1685,27657
1686,27686
1687,27714
1688,27740
1689,27766
1690,27796
1691,27851
1692,27902
1693,27958
1694,28006
1695,28061
1696,28117
1697,28174
1698,28230
1699,28284
1700,28338
1701,28389
1702,28441
1703,28492
1704,28543
1705,28593
1706,28630
1707,28663
1708,28693
1709,28724
1710,28752
1711,28782
1712,28808
1713,28835
1714,28862
1715,28894
1716,28939
1717,28993
1718,29048
1719,29109
1720,29172
1721,29234
1722,29296
1723,29357
1724,29418
1725,29484
1726,29553
1727,29613
1728,29678
1729,29743
1730,29802
1731,29863
1732,29924
1733,29980
1734,30041
1735,30102
1736,30166
1737,30227
1738,30291
1739,30351
1740,30414
1741,30485
1742,30539
1743,30595
1744,30646
1745,30697
1746,30738
1747,30781
